flow,super_class,cell_class,cell_sub_class,cell_type,region,side,cell_function,cell_function_detailed,peripheral_target_type,body_part_sensory,body_part_effector,nerve,hemilineage,neurotransmitter_verified,neuropeptide_verified,neurotransmitter_predicted,other_names,fafb_783_cell_type,manc_121_cell_type,fanc_1116_cell_type,hemibrain_121_cell_type,fafb_783_match_id,manc_121_match_id,fanc_1116_match_id,hemibrain_121_match_id
,,,wing_peripheral_intrinsic_neuron,,,,,,,,,,SLPal3_and_SLPal4_dorsal,,,,,,,,,,,,
,,,wing_power_motor_neuron,,,,,,,,,,SLPal5,,,,,,,,,,,,
,,,wing_steering_motor_neuron,,,,,,,,,,SLPav1_lateral,,,,,,,,,,,,
,,,wing_tegula_campaniform_sensillum_neuron,,,,,,,,,,SLPav1_medial,,,,,,,,,,,,
,,,wing_tegula_chordotonal_organ_neuron,,,,,,,,,,SLPav2,,,,,,,,,,,,
,,,wing_tegula_hair_plate_neuron,,,,,,,,,,SLPav3,,,,,,,,,,,,
,,,wing_tegula_orphan_neuron,,,,,,,,,,SLPp&v1_posterior,,,,,,,,,,,,
,,,wing_tension_motor_neuron,,,,,,,,,,SLPp&v1_ventral,,,,,,,,,,,,
,,,,,,,,,,,,,SLPpl1,,,,,,,,,,,,
,,,,,,,,,,,,,SLPpl2,,,,,,,,,,,,
,,,,,,,,,,,,,SLPpl3,,,,,,,,,,,,
,,,,,,,,,,,,,SLPpm1,,,,,,,,,,,,
,,,,,,,,,,,,,SLPpm2,,,,,,,,,,,,
,,,,,,,,,,,,,SLPpm3,,,,,,,,,,,,
,,,,,,,,,,,,,SLPpm4,,,,,,,,,,,,
,,,,,,,,,,,,,SMPad1,,,,,,,,,,,,
,,,,,,,,,,,,,SMPad2,,,,,,,,,,,,
,,,,,,,,,,,,,SMPad3,,,,,,,,,,,,
,,,,,,,,,,,,,SMPp&v1_posterior,,,,,,,,,,,,
,,,,,,,,,,,,,SMPp&v1_ventral,,,,,,,,,,,,
,,,,,,,,,,,,,SMPpd1,,,,,,,,,,,,
,,,,,,,,,,,,,SMPpd2,,,,,,,,,,,,
,,,,,,,,,,,,,SMPpm1,,,,,,,,,,,,
,,,,,,,,,,,,,SMPpv1,,,,,,,,,,,,
,,,,,,,,,,,,,SMPpv2_dorsal,,,,,,,,,,,,
,,,,,,,,,,,,,SMPpv2_ventral,,,,,,,,,,,,
,,,,,,,,,,,,,TBD,,,,,,,,,,,,
,,,,,,,,,,,,,TRdl_a,,,,,,,,,,,,
,,,,,,,,,,,,,TRdl_b,,,,,,,,,,,,
,,,,,,,,,,,,,TRdm,,,,,,,,,,,,
,,,,,,,,,,,,,VESa1,,,,,,,,,,,,
,,,,,,,,,,,,,VESa2,,,,,,,,,,,,
,,,,,,,,,,,,,VLPa1_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VLPa1_medial,,,,,,,,,,,,
,,,,,,,,,,,,,VLPa2,,,,,,,,,,,,
,,,,,,,,,,,,,VLPd&p1_dorsal,,,,,,,,,,,,
,,,,,,,,,,,,,VLPd&p1_posterior,,,,,,,,,,,,
,,,,,,,,,,,,,VLPd1,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl&d1_dorsal,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl&d1_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl&p1_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl&p1_posterior,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl&p2_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl&p2_posterior,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl1_or_VLPl5,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl2_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl2_medial,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl2_posterior,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl4_anterior,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl4_dorsal,,,,,,,,,,,,
,,,,,,,,,,,,,VLPp&l1__prim,,,,,,,,,,,,
,,,,,,,,,,,,,VLPp&l1_anterior,,,,,,,,,,,,
,,,,,,,,,,,,,VLPp&l1_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VLPp&l1_posterior,,,,,,,,,,,,
,,,,,,,,,,,,,VLPp1,,,,,,,,,,,,
,,,,,,,,,,,,,VLPp2,,,,,,,,,,,,
,,,,,,,,,,,,,VLPp2__prim,,,,,,,,,,,,
,,,,,,,,,,,,,VPNd1,,,,,,,,,,,,
,,,,,,,,,,,,,VPNd2,,,,,,,,,,,,
,,,,,,,,,,,,,VPNd3,,,,,,,,,,,,
,,,,,,,,,,,,,VPNl&d1_dorsal,,,,,,,,,,,,
,,,,,,,,,,,,,VPNl&d1_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VPNl&d1_medial_Lee,,,,,,,,,,,,
,,,,,,,,,,,,,VPNp&v1_posterior,,,,,,,,,,,,
,,,,,,,,,,,,,VPNp&v1_ventral,,,,,,,,,,,,
,,,,,,,,,,,,,VPNp1_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VPNp1_medial,,,,,,,,,,,,
,,,,,,,,,,,,,VPNp2,,,,,,,,,,,,
,,,,,,,,,,,,,VPNp3,,,,,,,,,,,,
,,,,,,,,,,,,,VPNv1,,,,,,,,,,,,
,,,,,,,,,,,,,VPNv2,,,,,,,,,,,,
,,,,,,,,,,,,,WEDa1,,,,,,,,,,,,
,,,,,,,,,,,,,WEDa2,,,,,,,,,,,,
,,,,,,,,,,,,,WEDd1,,,,,,,,,,,,
,,,,,,,,,,,,,WEDd2,,,,,,,,,,,,
